pollster,end_date,sample_size,state,hypothetical,party,candidate_name,pct,end_date_num,num_vote
Emerson,2024-11-02,800,Iowa,0,DEM,Kamala Harris,44.8,179,358
Emerson,2024-11-02,800,Iowa,0,REP,Donald Trump,53.9,179,431
Emerson,2024-10-31,700,Nevada,0,DEM,Kamala Harris,48.6,177,340
Emerson,2024-10-31,700,Nevada,0,REP,Donald Trump,48.3,177,338
YouGov,2024-10-31,880,Arizona,0,DEM,Kamala Harris,47,177,414
YouGov,2024-10-31,880,Arizona,0,REP,Donald Trump,48,177,422
YouGov,2024-10-31,856,Arizona,0,DEM,Kamala Harris,48,177,411
YouGov,2024-10-31,856,Arizona,0,REP,Donald Trump,48,177,411
YouGov,2024-10-31,880,Arizona,0,DEM,Kamala Harris,49,177,431
YouGov,2024-10-31,880,Arizona,0,REP,Donald Trump,50,177,440
YouGov,2024-10-31,856,Arizona,0,DEM,Kamala Harris,49,177,419
YouGov,2024-10-31,856,Arizona,0,REP,Donald Trump,50,177,428
YouGov,2024-10-31,984,Georgia,0,DEM,Kamala Harris,46,177,453
YouGov,2024-10-31,984,Georgia,0,REP,Donald Trump,48,177,472
YouGov,2024-10-31,939,Georgia,0,DEM,Kamala Harris,47,177,441
YouGov,2024-10-31,939,Georgia,0,REP,Donald Trump,48,177,451
YouGov,2024-10-31,984,Georgia,0,DEM,Kamala Harris,48,177,472
YouGov,2024-10-31,984,Georgia,0,REP,Donald Trump,50,177,492
YouGov,2024-10-31,939,Georgia,0,DEM,Kamala Harris,48,177,451
YouGov,2024-10-31,939,Georgia,0,REP,Donald Trump,50,177,470
YouGov,2024-10-31,985,Michigan,0,DEM,Kamala Harris,47,177,463
YouGov,2024-10-31,985,Michigan,0,REP,Donald Trump,45,177,443
YouGov,2024-10-31,942,Michigan,0,DEM,Kamala Harris,48,177,452
YouGov,2024-10-31,942,Michigan,0,REP,Donald Trump,45,177,424
YouGov,2024-10-31,985,Michigan,0,DEM,Kamala Harris,50,177,492
YouGov,2024-10-31,985,Michigan,0,REP,Donald Trump,46,177,453
